orig_id,gender,age,text,box,chicken,door
13,Male,20,"I would discuss my opinion about the  gays groups and why the church does not agree to get a gay couple be married.

before straight people get married they should not make sex because this considered a sin so they can wait until they get married and only then they can make sex.

so when the church does not agree to get gay couple married that say that they should not make sex all of there life because they can not get married and if they be together and they make sex this will be a sin .

and this is not fair in my opinion .

because that motivate them to make a sin and they don't have a solution so I think that the church should think again about this and agree to get gay people married and live together.

I think that the church had evidence from the bible not to agree to get gay couple get married and I for sure respect that but still I think that the life has been changed from that time and now the church may think again about that matter.

I would like to say that I am a straight person not a gay and just want to give my opinion about that matter and I discus this many times already",The Left box,Speed!,Door B
14,Female,25,"In 2011 I went to a trip to South America, I was very passionate to start trekking around the country and after a few days of getting used to the new continent, I went on a 4-day trek in Torres Del Paine Reserve. On my beck was a 10 kg backpack, hiking shoes and a thermal shirt, and I am ready to go. It was a beautiful place, snow, lakes, green mountains... But the weather was against us. The snow just started to melt and we reached to a really big river that we needed to cross from side to side in order to continue the trail. No one knew how to do it but they started passing it, and then my turn had come. At the middle of the river I slipped over a rock, fell down in the water and started drifting away, my friends shouted me to hold on in a big branch and in the last moment I succeeded grabbing it. Somehow, My friends succeeded to drag me from the water. My body was full of scratches and I don't know how, but I finish the trail somehow, but from that day on, I stopped with the treks...",The Left box,Speed!,Door A
15,Male,29,"My name is <PERSONNAME15> and I am a student at the faculty of Mechanical Engineering. I want to talk about my experiences in China.



I took part in both a Chinese introduction course and in the advanced course as well, which I enjoyed greatly and can vastly recommend. In addition I got a chance to travel to China for summer studies.  However my great interest in the Chinese culture had already begun long before the aforementioned courses.



I believe that the best way to learn new things is to experience them yourself.



After my military service, I have decided to travel to China and was deeply inspired by the Chinese culture which is radically different from anything I have experienced before. It was a big challenge to communicate with the locals, as most of them do not speak any English. However it was great fun and one of the best experiences I ever had.



During my first visit to this amazing country, besides enjoying the local food, the breathtaking scenery, and taking the chance to learn mandarin, I have also visited Tsinghua University where one of my best friends were staying as part of the Technion's student exchange program. I've met with several international students, and have seen with my own eyes how the Chinese students live and breathe education and do not take it for granted. 



In my opinion China is one of the most interesting places to visit and I can highly advise anyone to travel there.",The Left box,Speed!,Door A
16,Male,25,"This story is about the student festival in the Technion from last year, it was the second time for me in a Student festival, but the first time as a student.

It all started back in the dorms when I met with friends to have a few snacks, when the time arrived we started walking to the festival in the main quad.

It was huge, a lot of people there, so noisy, so great. Music, lights a great atmosphere of joy. We went around meeting other friends, and students, everyone with a big smile in their faces, students from the Technion and other universities, dancing, singing and having a great time together, and it was only the first day, another day like that was waiting for us tomorrow.

After a while I saw there was a stand who asked for recycling plastic cups to get a t-shirt, I thought it was a great concept and that I also like free t-shirts, so collected a lot of plastic cups and got 2 t-shirts, for me and my girlfriend.

Later we had a few drinks and an hamburger and moved near the stage to watch the great shows and bands that were performing in the festival, we sang out loud, danced with everyone and had a great time indeed.

I enjoyed the previous festival, but now as a student it was a much more fun experience, and I am expecting to this year's festival, hoping it will be at least as good as last year !",The Left box,Speed!,Door A
17,Female,19,"My opinion on religion.

Lets go back roughly 4000 years back ,to the days of our ancestors

who lived here in Kna'an.

Before the days of the 10 Commandments

, before any sort of rules were existed.

Before the days of science people did not know to explain the things that were happening around them, day ,night ,winter summer ,illness, they credited it all to a being that could not be seen ,a being that created everything around them.

So the village elders chose to teach morals to the people through that being a 'god'.

And so came the 10 Commandments. 10 rules that in our perspective are very basic and obvious but were not at the time, so those rules came to unite the people and give a meaning to their life.

Today we see people abuse their religion to make others feel bad in the good scenario and dead in the bad one.

 nowadays we should know better, we know  what is causing everything we see. We are united for the countries we live in and not in our religion ,we should thrive to be good people for the good in it and not for a 'prize' that is promised to us by 'god'.

We are all people. Gays, blacks, Muslims , Jews , we all have a soul and a beating heart and I can not accept someone banning other human being for not falling into their  definition of that religion.

In my opinion religion is outdated and its time we realize we are all one, and no one should Dictate you how to live your life.",The Left box,Speed!,Door B
18,Male,30,"Horse riding is a wonderful sport. I have seen crippled young kids, that after a year or 2 of working with horses

Had went from sitting in a while chair to walking with a little help.

I don't really know what exactly made the difference, was it the god teacher they had, or the fact that the big animal can sense that they are special,

And you need to treat them with delicate and cushion.

You could see a horse, acting wild with one person, and once you place a special kid on him, being so delicate that it really amazes me.

that big animal is very special, from one side you need to be very firm with it, otherwise it won't listen to you and bad things can happen,

you might fall, get kicked/bite or worse.

But once the horse knows you, and trusts you, you and him are a team. He will do almost anything for you, because he knows you won't try to harm him.

and that special bond helps the kids, they finish the lesson, in which they played with a ball from the back of the house, or maybe just walked with him.

after the class they go, take some food they brought from home (like carrot) and they feed the horses, what a wonderful thing to see.",The Right box,Speed!,Door B
19,Male,31,"I would like to change the way people use their money to buy properties.

The pursuit for wealthiness turn people to machines and take away their real purposes for life. Lets call this phenomenon- the money race. It's taking a huge part in many aspects of human life's: 

1. Finding a person to be with is affected with the money race, because people translate wealth as a good property and choose people according to it..

2. Good health is connected with the money race as well, since the more you have, the more you can invest in better insurances, and better doctors and in better conditions for your treatment. On the other hand, the money race sometimes demands a more  stressful life, and may produce health problems because of that.

3. The money race affects on people's life quality, since the more you have, the more you can spend and increase it. On the other hand, people who have less money, do not tend to spend it on staff which can increase their life quality rather than their Living,  since their quality of life is less important for them than their survival.",The Left box,Speed!,Door A
20,Male,24,"I would like to write about an experience I had while serving in the army.

When I was a solider, I was given an order to escort some man. It turned out that this guy was helping transferring money for some terror organization. At the first time I heard the order I was quite sure I'll face some young guy. But when I saw the man who was arrested I was supposed to escort, and I found out that he was quite old actually, about 50 years old. Furthermore, in the ride to the prison I found out that he was quite sick, and he kept coughing all the time. It looked like he had some kind of Pneumonia. For a matter of fact, I didn't hesitate, and I gave him tissue paper every time he was coughing, even though he helped transferring money to some terror organization. Not only that I gave him Tissue, but I did help him to blow his nose, because his hands were cuffed. Apparently he was touched from what I did and from the efforts I was giving to help him, so suddenly he said to me: ""your parents taught you very good manners"". It felt quite surreal to me, that a grown-up, terror-helping guy is being impressed from my manners, while being cuffed and eyes-folded.

Maybe one who's looking from the outside it seems quite ordinary and simple story, not to say boring, but to me it's an event I still remember very good.",The Right box,Stop!,Door A
21,Male,19,"Deaf aerospace engineer

I was born with very little hearing , due to a lack of a hearing tunnel between the outer ear and the median.

I was raised in a suburb near Haifa , and graduated a public high school two years ago. I later went the  Technion's center for pre-academic studies for a year , and it was one of the best things that ever happened to me. I met the love of my life there , and grew up mentally , physically and in every sense ,practically.

I am now an aerospace engineering student - studying one of the fields I'm most passionate about.

I am fortunate enough to enroll to study here with a good scholarship from the IDF , as a  part of a program called 'Atuda' , which basically means I become an engineer and then an IDF academic officer , serving in my field of studies. 

All this , with being  86% deaf . Over the years I have gradually lost of the hearing I had left, and developed coping strategies to help me function like a normal human part of society. Anything from lip -reading to expert body language recognition courses , basically any tool that I managed to learn.

This month , on a routine hearing test I was told many people in my condition (and better) are dependent on hearing aids to function normally.  I just started using one and hopefully it will make being a student here simpler.",The Left box,Stop!,Door B
22,Female,26,"Hello,

My name is <PERSONNAME22>, I am studying at the Technion in Biotechnology and food engineering, I will graduate in two months. I am working in the biology faculty at the Technion for two years and I am really enjoy from it.

I have a boyfriend for six years, He proposed me sim months ago, and we are getting married next month.

He is also a student at the Technion in mechanical engineering.

Originally we both from the center of Israel,  but we are living in Haifa for the last five years.

We lived in the Technion dorms for 3 years and then we moved to another apartment In Nesher, and then we moved to Haifa.

At this time we decided to adopt a dog. It's a Dutch Shepherd Dog. We brought it when it was only three months. We called her Joya. She has a brown and gray fur, what make her looks like a hyena. Now she is one year old and we love her very much.

Yesterday I had a dream that I am winning in the lottery and earning a lot of money. So because me and my boyfriend loves dogs and animals at all very much, we are deciding to invest part of the money, to build a large kennel near to our house and by this way rescue a lot of dogs that designated to death. So we started to build, and we really saved few dogs. But then I wake up. At least I was happy when I woke up.",The Right box,Speed!,Door A
25,Male,21,"Academic Reserve - Is it for anyone?



We would often hear about the Academic Reserve program, and arguments that go from how it's the best course of action to a life ""end game"" choice. However, looking deeper into the subject would reveal that it is not such a uni-polar decision as both sides of the argument try to portrait it, in fact it's a decision that is going great lengths into ones personality and other life aspects. However we will discuss this matter shortly, after an introduction with your truly writer.



I am an Academic Reserve student, currently on my 6th semester, and ever since I've signed up I am still pondering whether my choice has been a good one or not, after lengthy debates with my fellow students, I have come to a conclusion that there is no definite answer, we can however create a scheme that will help future generations to decide whether the program is up to their character type or not. This is of course advisory only, and could only give general guide lines.



Subjects of interest. Many of us in our late high school years didn't know what occupation would be our point of interest exactly. We knew which subjects are more interesting to us and which are less, however as narrow as they are, this does pose a certain character type.

Or does it?



Many people would discover that this assumption is, well, wrong. This is due to how light and only barely touching the real material is our high school studies are. Many things, when delved deeper into, will become tedious and boring rather than inspiring and interesting. However, during our military years and the little time afterwards we get to know ourselves better and what possible future occupation might be deemed by ourselves as ""good"" or ""interesting"". In Academic Reserve we often don't have that freedom of discovery, and more than that - once we did make the choice changing a subject is a VERY hard matter. So with that in mind - you need to know EXACTLY what interests you as a point of studying, as changing this later on might prove hardy and perhaps even impossible.



Next would be the future provision of ourselves. Do we know what we wish to do in the next 4 years? Perhaps the 10? Academic Reserve takes a lot of ahead planning, and if you are not the type of such heavy commitment, that course is very doubtfully for you. There are however the types that can easily cooperate with that fact, and will even find in such laid ahead pavement a comfort, rather than harassment.



This should all be taken to mind when making this rather big decision, hope you enjoy this short essay.",The Left box,Speed!,Door B
26,Female,23,"A dream I had - I woke up in a big house, with 3 floors, beautiful design and giant garden outside the house. I looked outside the big windows and saw my kids play with their neighbors with a football. My Childs were professional players in famous team around the world, they were playing good, very good! I looked at them with joy, with proud. I liked my garden. It has many kinds of trees, mango, apple, orange, strawberry, and everything my mind ever dream about.

Suddenly I saw my husband run to the garden and take the ball into his hands and say at loud voice that all the people who wants to play need to come close to him and he will split the teams and he will be the judge. Everyone likes him a lot so came quickly and he divided them into two teams. He announced that the winner will win in a meal at our house, I just heard it and laughed- he liked my cook any chance he can make he will make me do it. The teams started to play. My 2 kids were each one in a different teams it was obligated in order my husband, the judge will not judge one team in a favor on the other team. They were playing good and the rhythm was fast and rhythmical. I couldn't let my body move from the window. 

 My eyes was straight on the game when suddenly  the ball through right in to my face...waking me from my dream.....",The Right box,Stop!,Door A
27,Male,21,"it was the end of last year .. I was thrilled that I finally have finished my exams and summer is coming , I had so many idea and plans in my head , and how I am going to take advantage of every second of this summer!! , but what happened after that nobody could of expected!! 

a whole week went by and everything was going great, my plans were going as expected ,I had a nice job and I was enjoying everyday of my vacation, unfortunately and out of nowhere I started feeling a great pain in my left leg, at first I thought its probably nothing so I ignored it, but as time  passed the pain only got worse and worse and one morning I woke up with no feeling of my leg , it was numb and weak so I went immediately to the nearest hospital with my parents and I ended up there for the whole summer, about two and half months , I passed every single test but doctor couldn't explain it ..I had a lot of exercise and  today I am feeling much better  and I can walk normally with out trouble but the mysterious case is still not solved and till this moment nobody is certain what caused all of this..",The Left box,Speed!,Door A
28,Male,27,"My name is <PERSONNAME28>, I am 27 years old. I was born and grew up in Ness Tziona to Ahuva and David who also grew up in Ness Tziona.

I have two brothers, Kobi which is older than me in two years, and little sister called Eden, who is serving in the army now.

I love everything that is doing with sports, especially football. From the moment I remember myself I loved playing football and watching it on television or live. My favorite teams are Beitar Jerusalem in Israel, and Real Madrid and Juventus in Europe. Unfortunately my local team, Beitar Jerusalem appears to have probably the raciest crowd in the league, which makes me think that maybe this is not the team I would like to support, while the crowed owns complete different values than I believe.

I also like to travel and explore different cultures. I love traveling in Israel but in Israel I can't explore different cultures, and this is the reason why I love traveling around the world, and in as many different continents as possible. I also prefer to travel and get to know the third world countries more than the westerns cultures countries in Europe. For example I loved meeting local people in Peru, Bolivia and Colombia in south America (which I was traveling there right after I finished serving in the army), and India, Nepal and Laos in the east (which I was traveling there before I started the studies in the Technion).",The Left box,Speed!,Door B
29,Male,28,"This is the story about my trip to the North Pole. at the year 2010 me and my best friend decided to fly to Lapland as every one ask us we went to find Niles (Halverson). 

The first day we arrived it was about 30 degrees below zero so our guide took us to the company and gave us a lots of special gear to protect us from the cold and then to our hotel. We went to see the city it was so white and clean lots of people running in the street from one party to another so of course we decided to find a nice party to start our trip. 

The next day we took a bus to the zoo it was one of the largest zoo in the world to winters animals that some of them you can even pat and feed. 

From the zoo we want to Santa's village the tourist trap that I ever see. The following night we took a guided tour out from the city to see the Aurora borealis till this days is the most amazing thing I had ever saw and you can't describe it to another person. during the trip we also want  to a ex-army ship that can travel in the ice. then at the middle of the frozen sea they bring you a suit that is fully isolated from water and you can go and float between the shredder ice. also we want to dog slide and moosh slide a frozen castell ice fishing and many more. at the last day we had to stay a little in Budapest to our flight home we started sight seeing the city but than because my European passport I was accused as ""mossed"" agent so we preferred not to wonder the city and finish our trip.

 ",The Right box,Stop!,Door A
30,Male,26,"While I was a soldier, I took a vacation and went to Cyprus for a week. It was the usual kind of vacation until we rented a quad bike and rode out of the city. After going off-road towards the beach we noticed some rocks. They were really hard to pass with the quad bike, but after hard work we managed to do that. Suddenly we saw a strange looking soldier who was shouting at us. The soldier came closer to us and he looked as confused as we were. While the soldier called for backup I noticed he had a Turkish flag on his uniform, I immediately realized what happened. We accidentally crossed the international border between northern and southern Cyprus. After a long interrogation by the army we passed to the police custody. The police officers acted irritated at first. They were angry because I sat with my legs crossed (few years later I read that this is considered disrespectful in the Turkish culture). But after a while it seemed that we have more in common than we though. After I sang them a Turkish song that I know, they began being totally positive towards us. The procedure said we should spend at least few days arrested. But they did a courtesy to us and let us go the same day. It was definitely weird experience for us that thought us that sometimes common sense and sense of humor can get you out of trouble everywhere in the world.   ",The Left box,Speed!,Door B
31,Male,27,"My story is about me playing a computer game when I was young and getting to second place in the country in it. I started playing Fifa, which is a computer game that simulates a football game in the computer when I was very young (elementary school). Every year came out new addition of this game and I always got it. As a general thing about my self: I am very good at computer games. Anyway in high school I started betting with people on game via the internet. Not big bets and only with friends. I always won and earned quite a lot of money for a teenager - about 200-300 shekels overall. After some time all my friend got tired of playing with me and they stopped doing so because they knew I was too good for them. I wanted to continue making this money and than I saw in the internet that the qualification championship of Israel FIFA competition is taking place (the games are from your home). I was really good and was first in my house winning all the games. Soon after qualifying too the final stage which took  place at Tel Aviv, the other players which qualified wanted to play with me, mostly I won buy there were too players which were better, and were famous among the player community, to them I lost. At the championship I got to second place after beating one of them at the semi final. At that point people looked at me like some kind of god because he was considered the best. But somehow at the finals I lost measurably 12-2 I front of a lot of people in a big screen.",The Left box,Stop!,Door B
32,Male,31,"Recently I had discovered that it is possible to start growing a Mango tree out of a Mango seed at home very easily.

I believe everyone should try and grow their own food, such as Mangoes, Tomatoes (Like I do, in a pot outside my dormitories apartment), and even potatoes and such.

As soon as we all realize that growing vegetables for food is really easy, and do it ourselves, it may be possible to reduce meat eating, so that the horrible things we hear about the meat industry will stop.

As I recall there was a person who said all of the world resources will run out as the population grows, however, as we did find a way to workaround this problem, we should probably try and take it a step further, and start growing food at home.

Peppers are really easy to grow as well, and so are beans, chickpeas, garden peas and a lot of other types of edible plants.

The beauty of it is that you don't really have to have special skills, only the courage to start growing. Go ahead! Take a few kidney beans, through them in a pot, cover with soil and water them!",The Left box,Speed!,Door C
33,Female,25,"Now I am sitting; by the window, in the living room in my apartment. It is unbelievable; instead of doing my homework or preparing for the next laboratory, I am writing this text. ""Why would you do this?"", you might ask. My answer is very simple. As a student at the Technion, I can't find time for a job, because it will influence my grades. It is my responsibility to not let this happen, so that I can have a good job in the future. For this reason, sometimes, short time jobs help me to have a little cash in the pocket, without making too much effort. I strongly believe that all the students, writing their story for this trial, think about most of the things written above. I am not sure that anybody else will write about it... Oh my! I just found out that, by now, there are only exactly one hundred and sixty one words in my story. I definitely have to add something. A joke? No, usually I am not so funny. Such a pity. Ok. I will tell you about the last time I went to the cinema. It was that movie, about superheroes, named ""The Avengers"". It was nice, the characters had not shout loudly, so I had the opportunity to sleep calmly for about a half of the movie. While I had been awake, the story line seemed too boring and the silly jokes of the characters were not funny at all. My hope is that my story will not be considered as a spoiler... End of story.. Enjoy your life, and... smile!",The Left box,Stop!,Door A
34,Male,29,"During my army service, I started to Like Vanilla pudding, we called it, in Hebrew, ""Dany Lavan"", and my motto was ""Danny Lavan - Fanan"", which mean ""Vanilla pudding -groovy"" (I got this motto from a summer day camp that I work at when I was 14. Over there we used to say ""Pipi Lavan - Fanan"". The meaning of this sentence was to make sure that all the children are drink enough water and their urine is transparent. Although ""Lavan"" means white). One Saturday night, I was at the military base, where I was doing medic course. It was dinner time and I had duty roster at the dining room. At the dining room we made a two big stacks of pudding, one chocolate - black and the other one Vanilla -white. Every solider who came to take food we make to choose, and if he took the good choice - white - all the people in the dining room (most of them I did not know) was applause for him, and if he took the black one, everyone was shout ""booz"" at  him. When someone wanted to take the black one I said to him ""first take the white, get the applause, and then take whatever you want, what do you care?"" ",The Left box,Speed!,Door B
35,Male,25,"Hello! I would like to tell you about the most extraordinary and amazing experience of my life. When I finished my army service in 2011 I knew I had to take a break from life. So I took a loan from my parents and flew to China with an open ticket, open mind and no plans whatsoever. This led to the best six months of my life!



My tour of the east began in China. I was alone and very confused at first. Beijing is huge and literally no one speaks English! My first day was exhausting. Like I've mentioned before, I'm not big on planning, so there I was, hiking the streets of Beijing in the late May sun, with a 20 kg backpack and no clue as to where I should go. Asking strangers for directions was pointless because no one speaks English. You don't even see tourists on the street. Just thousands and thousands of Chinese people. It took me four hours to finally find a place to stay at which ended up as the most expensive place I've stayed at in my entire trip. 



Starting out on my own wasn't easy. Especially in a place as foreign as China. But soon I learned to open myself to experiences and people and got along just fine. I would tell you of each and every incredible day and experience I've had on these six months away from home, but you asked for a short essay so I'll finish with this: after a month of exploring China I went with the current and continued to Thailand, Laos, Cambodia, Nepal and finally India( to which I returned last August for a couple of months). I cannot describe to you in words the freedom I've felt by simply roaming the earth with no specific destination in mind. A must have, I think, for anyone in one part of his life or another. 

Thanks for reading :)",The Right box,Speed!,Door A
36,Male,19,"My story isn't a single experience, but a recent change In my life I would like to share.  The thing about me is I'm very lazy when it comes to working out.  I don't enjoy putting effort in a training routine, even though I know it is healthy and important to me.  As a result I have come to the point in my life where I am under weight, am in absolute horrible shape and can barely go on a run without fainting because of the stress.

So I decided to make a change.  I decided to make a gym membership and start working out.

This isn't the first time I've don't so of course.  The realization I'm out of shape isn't new.  But every time I tried making a work out routine I failed miserably.  I would go for a few weeks, get both bored and exhausted of the process, and then the excuses begin.  Any reason I could find, and I do mean anything, meant I wouldn't go.  And not long after I would stop going all together.

This time it was different.  I didn't go alone, I went with a few friends.  And the result Is amazing.   As of now I've been going to the gym for about three months straight, I feel way better about myself, and have an actual will to keep going week after week.

This is my story, thank you for reading.",The Left box,Speed!,Door C
37,Male,20,"I would like to discuss the topic of the experimental methods laboratory course which I have to take during my mechanical engineering studies. The lab is worth only one and a half academic points and it is well known across the faculty that the amount of time it consumes is way larger than its worth. Although the grades are considered to be high, many students consider it to be unfair, and some of its requirements are draconic. Each lab session requires you to either prepare a report or to study for an exam, and while most of the theoretical material is covered in previous courses, there is still a lot of material we have to study ourselves, sometimes from advanced courses, and sometimes material not covered in undergraduate level courses. There have been attempts to negotiate with the head lecturer of the course, but as far as I know they were all in vain. I personally have proposed a simple offer to help reduce the difficulty of a specific lab, for which I studied for almost 2 days, but the professor did not accept it, claiming that what I proposed was to drop an integral part of the lab and that I will thank him in the future for teaching me how to solve such a problem. I've learned a lot during my studies for the lab, I can say that I even enjoyed it, but two days of preparation is a ridiculously long time for a student who have other courses as well. So frustrating.",The Left box,Speed!,Door B
